Localtime,Receivetime,Week,Seconds,DataCount,PitchRate,RollRate,YawRate,LateralAcc,LongitudinalAcc,VerticalAcc,CrcCheck
2024-02-03_02:04:21,1706925861341298,2299,525879340,2,5.34879943833e-05,0.0001280422331902,0.0007702418104001,-0.005839067123036,0.0004113887390138,0.0078957997289208,1541522195
2024-02-03_02:04:21,1706925861351398,2299,525879350,1,-5.0739955299e-05,2.04624093979e-05,0.0003961868267634,-0.0036828097755972,-0.0006588798444024,0.0019424479597104,654819659
2024-02-03_02:04:21,1706925861361377,2299,525879360,1,-4.29126097948e-05,-2.1163193178e-05,0.0004103816766092,-0.0029800910911406,-0.0006230949411795,0.0018903408155103,3523356651
2024-02-03_02:04:21,1706925861371721,2299,525879370,1,-3.88078387001e-05,-3.73667875198e-05,0.0004188219630988,-0.0025075698348039,-0.000280075853838,0.0021206427486232,3800335859
2024-02-03_02:04:21,1706925861380700,2299,525879380,2,-0.0001016036845642,-5.49050950648e-05,0.0008201701963095,-0.0041997449913563,-0.0003872913156985,0.0029740314054979,841106170
2024-02-03_02:04:21,1706925861391350,2299,525879390,1,-8.1545018149e-06,-3.33707424976e-05,0.0004134602431057,-0.00331456672748,0.0003221296019396,0.0021123241222131,1187356064
2024-02-03_02:04:21,1706925861402121,2299,525879400,1,-3.67175665675e-05,-5.66727304824e-05,0.0004301044244112,-0.0037361141957299,-0.0010639412000172,0.0011551233339051,833301666
2024-02-03_02:04:21,1706925861410608,2299,525879410,1,-2.67311132065e-05,-6.44657526449e-05,0.0004368240817431,-0.0033831005353309,3.3502739208e-06,0.0018462800400141,4147117137
2024-02-03_02:04:21,1706925861420738,2299,525879420,2,-0.0001402600133388,-8.30912713645e-05,0.0008737775802754,-0.0058286822922198,0.000234955264795,0.0033153262283025,1844477937
2024-02-03_02:04:21,1706925861431264,2299,525879430,1,-9.33253569584e-05,-1.24647324709e-05,0.0004345227216713,-0.00160756923111,-0.0006875694514797,0.0012404011123824,4110974664
2024-02-03_02:04:21,1706925861441311,2299,525879440,1,-8.74541331073e-05,1.89143343683e-05,0.0004191430660095,-0.0034082569688455,-0.0008235591524978,0.0019257298220204,2404018609
2024-02-03_02:04:21,1706925861450711,2299,525879450,1,-9.19039603799e-05,2.2658738671e-06,0.0004247424003709,-0.004770429266793,0.0001253085203898,0.0021295491776437,960107886
2024-02-03_02:04:21,1706925861461616,2299,525879460,1,-0.0001090611384536,-3.51329379851e-05,0.0004341311324556,-0.0043300567173021,-4.58276377744e-05,0.0014308271978377,1087710999
2024-02-03_02:04:21,1706925861471272,2299,525879470,2,-0.0002387930320024,-0.0001409201848954,0.0008795969696466,-0.0079488174706067,-4.7202014296e-06,0.0013684678051728,153284615
2024-02-03_02:04:21,1706925861481265,2299,525879480,1,-0.0001149666873429,-0.0001038550468093,0.0004389886942753,-0.002674154311636,-0.0005654159826975,-7.2680261972e-05,2848014547
2024-02-03_02:04:21,1706925861491519,2299,525879490,1,-8.69457499326e-05,-0.0001097300057375,0.0004275845026332,-0.0025103258703662,0.0003275298763746,0.0016743001853735,3527661668
2024-02-03_02:04:21,1706925861503379,2299,525879500,2,-0.0003216711740887,-0.0002679639443051,0.0008368407344027,-0.0090376316217613,0.0016404018137421,0.004535906242527,4087460277
2024-02-03_02:04:21,1706925861511305,2299,525879510,1,-0.0002033626045092,-0.0001905227316349,0.0004323676390673,-0.0052945333833275,-0.000488415165108,0.0010567530164054,3484639239
2024-02-03_02:04:21,1706925861521318,2299,525879520,1,-0.0002134081631562,-0.0002111820850348,0.0004434000932385,-0.0043922803439251,0.0004054121746639,0.0009990146087504,1109280657
2024-02-03_02:04:21,1706925861531486,2299,525879530,1,-0.0002249352418024,-0.0001968489814948,0.000438251323842,-0.0035940851701616,7.94866649976e-05,0.0016961950044225,1921893764
