,Localtime,gps_epoch_second,Receivetime,Week,Seconds,ImuStatus,ZAccel,YAccel,XAccel,ZGyro,YGyro,XGyro,CrcCheck
113,2024-02-03_02:04:18,1706925752.628,1706925858360885,2299,525770628,3850108416,-343293878,14020850,1016817,-22508577,-21323515,6859387,682712924
114,2024-02-03_02:04:18,1706925752.636,1706925858361384,2299,525770636,3850108416,-351129217,7390141,8286110,-20720962,-28249035,10810300,1417253246
115,2024-02-03_02:04:18,1706925752.644,1706925858361881,2299,525770644,3850042880,-339734159,6012712,21550374,-20795640,-29783859,16129359,2445355572
116,2024-02-03_02:04:18,1706925752.652,1706925858362114,2299,525770652,3850042880,-311927703,11631029,24313969,-23421775,-24497268,22634133,10638858
117,2024-02-03_02:04:18,1706925752.66,1706925858362674,2299,525770660,3850108416,-301909233,16365513,15023291,-24478433,-19576144,22010421,2304305178
118,2024-02-03_02:04:18,1706925752.668,1706925858363555,2299,525770668,3850108416,-302146740,20424690,-4100078,-23960432,-18703711,13954556,2969146758
119,2024-02-03_02:04:18,1706925752.676,1706925858364290,2299,525770676,3850042880,-312423279,15515813,-22632557,-21939175,-24019015,11837303,1691930774
120,2024-02-03_02:04:18,1706925752.684,1706925858364922,2299,525770684,3850042880,-320016644,14015626,-17320454,-17888080,-34238885,11907434,3898360124
121,2024-02-03_02:04:18,1706925752.692,1706925858365118,2299,525770692,3850108416,-309983594,22443209,15958765,-15640937,-38804669,10922825,1336138421
122,2024-02-03_02:04:18,1706925752.7,1706925858366072,2299,525770700,3850108416,-306421374,27820680,41066187,-16071940,-32027255,5908198,1392776791
123,2024-02-03_02:04:18,1706925752.708,1706925858366669,2299,525770708,3850108416,-325271527,20733288,29143909,-18098149,-19835767,-1716119,1604059017
124,2024-02-03_02:04:18,1706925752.716,1706925858367287,2299,525770716,3850042880,-343633286,11855815,4880329,-18194775,-14286457,1067369,1476053769
125,2024-02-03_02:04:18,1706925752.724,1706925858367814,2299,525770724,3850042880,-336203432,19309797,-4764567,-15785339,-15527237,9535215,2610031049
126,2024-02-03_02:04:18,1706925752.732,1706925858368108,2299,525770732,3850042880,-323021189,27568809,2132841,-12767829,-17689645,10709462,2785633530
127,2024-02-03_02:04:18,1706925752.74,1706925858368666,2299,525770740,3850108416,-325019644,24496295,17985287,-10557289,-16996119,4978030,4038923552
128,2024-02-03_02:04:18,1706925752.748,1706925858369144,2299,525770748,3850108416,-335778263,21049949,33365750,-10309909,-11165029,2769359,2521150808
129,2024-02-03_02:04:18,1706925752.756,1706925858369565,2299,525770756,3850108416,-343050735,18287488,33621231,-11277040,-2928175,2877905,2018729228
130,2024-02-03_02:04:18,1706925752.764,1706925858370143,2299,525770764,3850108416,-338364044,17078333,23049173,-12592053,3189436,3636081,2409134715
131,2024-02-03_02:04:18,1706925752.772,1706925858370379,2299,525770772,3850108416,-328826877,25588929,18829442,-13330495,6386704,2344430,3645429989
132,2024-02-03_02:04:18,1706925752.78,1706925858370909,2299,525770780,3850108416,-333703549,23660445,18747010,-13439245,8323743,-3619728,2669825042
133,2024-02-03_02:04:18,1706925752.788,1706925858371633,2299,525770788,3850108416,-334403224,21379612,23835540,-12555469,8585826,-10061284,1078417527
134,2024-02-03_02:04:18,1706925752.796,1706925858372863,2299,525770796,3850042880,-328495894,23705845,36298747,-11428675,9338621,-12127268,293819380
135,2024-02-03_02:04:18,1706925752.804,1706925858373250,2299,525770804,3850042880,-332738730,21095688,43325212,-11371766,13033532,-10524475,666389516
136,2024-02-03_02:04:18,1706925752.812,1706925858373526,2299,525770812,3850042880,-344227532,11275483,48391527,-13276907,19604315,-10013437,1590847503
137,2024-02-03_02:04:18,1706925752.82,1706925858373990,2299,525770820,3850108416,-335129846,3078403,41962326,-16614019,25924705,-3836705,1571582076
138,2024-02-03_02:04:18,1706925752.828,1706925858374480,2299,525770828,3850108416,-299724785,14522190,21340878,-18020792,25728897,354968,1833015190
139,2024-02-03_02:04:18,1706925752.836,1706925858375060,2299,525770836,3850108416,-286053974,25406362,16397774,-15835318,18115281,-8625553,2195665713
140,2024-02-03_02:04:18,1706925752.844,1706925858375529,2299,525770844,3850042880,-315081155,13627256,36302464,-14364689,11143730,-16902088,1755629503
141,2024-02-03_02:04:18,1706925752.852,1706925858375710,2299,525770852,3850108416,-331899744,12507548,49722489,-16487227,11054412,-18050179,1921479235
142,2024-02-03_02:04:18,1706925752.86,1706925858376387,2299,525770860,3850108416,-324998153,15900542,45049827,-18540522,13230896,-18575801,616091337
143,2024-02-03_02:04:18,1706925752.868,1706925858376943,2299,525770868,3850042880,-317599983,10462811,37535589,-19040699,13374531,-15719781,197444405
144,2024-02-03_02:04:18,1706925752.876,1706925858377441,2299,525770876,3850042880,-309148782,9526783,26925222,-19887491,12436805,-9223778,2939050240
145,2024-02-03_02:04:18,1706925752.884,1706925858378037,2299,525770884,3850042880,-303454860,16667056,16768219,-19640974,9139180,-10229089,1504938017
146,2024-02-03_02:04:18,1706925752.892,1706925858378384,2299,525770892,3850042880,-308141850,20823732,18363651,-17381958,3616122,-16987860,509138613
147,2024-02-03_02:04:18,1706925752.9,1706925858379641,2299,525770900,3850042880,-322706476,10305309,27144059,-15968373,676395,-17476258,2318553509
148,2024-02-03_02:04:18,1706925752.908,1706925858380379,2299,525770908,3850108416,-326993120,10971351,31256875,-16380429,2553211,-9345117,696448174
149,2024-02-03_02:04:18,1706925752.916,1706925858380897,2299,525770916,3850108416,-321945278,21439008,29396911,-17471037,7168308,-6290856,453814968
150,2024-02-03_02:04:18,1706925752.924,1706925858381431,2299,525770924,3850108416,-328778284,15665511,21172390,-18091047,11454090,-9793921,3609684372
151,2024-02-03_02:04:18,1706925752.932,1706925858381668,2299,525770932,3850042880,-332657606,12768625,10842594,-17800736,12370345,-10330562,3960712919
152,2024-02-03_02:04:18,1706925752.94,1706925858382192,2299,525770940,3850042880,-328079924,20432194,5158555,-16074593,9765877,-12144853,44986078
153,2024-02-03_02:04:18,1706925752.948,1706925858382712,2299,525770948,3850042880,-338338843,17517996,12060049,-13748260,7083564,-16971587,1311638642
154,2024-02-03_02:04:18,1706925752.956,1706925858383329,2299,525770956,3850042880,-352242928,9609818,24481927,-13211462,7581507,-15988406,197835059
155,2024-02-03_02:04:18,1706925752.964,1706925858383884,2299,525770964,3850108416,-347103075,7209185,26231632,-14467461,11214563,-5911974,1751156543
156,2024-02-03_02:04:18,1706925752.972,1706925858384237,2299,525770972,3850108416,-334092917,10591696,15366169,-15064642,14802054,424969,2221740979
157,2024-02-03_02:04:18,1706925752.98,1706925858384847,2299,525770980,3850108416,-330482902,15079887,4848219,-14238130,14933187,2665159,3237947653
